,RMSE,NRMSE,AR order,I order,MA order,Test Train Proportion,Region
0,33.468997359143344,1.4149386626090028,1,0,0,0.7,Centro-Oeste
1,23.064121255399098,0.5032066642547623,1,0,0,0.7,Nordeste
2,106.12004284537356,0.9346270695274383,1,0,0,0.7,Norte
3,12.378998380398597,1.6514776848517143,1,0,0,0.7,Sudeste
4,11.372162256762124,1.4290113858608022,1,0,0,0.7,Sul
5,47.75908895293364,2.019067996730033,1,1,0,0.7,Centro-Oeste
6,27.82749420486729,0.6071326272672118,1,1,0,0.7,Nordeste
7,107.63791665578229,0.9479953825557497,1,1,0,0.7,Norte
8,18.649694859284565,2.4880490281161554,1,1,0,0.7,Sudeste
9,9.937612871630277,1.2487477421800186,1,1,0,0.7,Sul
10,46.21888124720262,1.9539540225078034,1,1,1,0.7,Centro-Oeste
11,28.921782064690998,0.6310074993067208,1,1,1,0.7,Nordeste
12,114.80249067658801,1.0110956663658026,1,1,1,0.7,Norte
13,24.185140533530742,3.2265308281624168,1,1,1,0.7,Sudeste
14,13.394609920329634,1.6831495764082538,1,1,1,0.7,Sul
15,52.415954535984916,2.215942109489565,0,1,1,0.7,Centro-Oeste
16,33.702923755971476,0.7353211358488206,0,1,1,0.7,Nordeste
17,114.80269474572235,1.0110974636562287,0,1,1,0.7,Norte
18,19.49191377825737,2.6004091486769543,0,1,1,0.7,Sudeste
19,9.280404907092766,1.1661638286727996,0,1,1,0.7,Sul
20,55.8894072442966,2.3627861418038916,0,0,1,0.7,Centro-Oeste
21,67.9738024996806,1.4830337576624237,0,0,1,0.7,Nordeste
22,104.19187190958355,0.9176451620296131,0,0,1,0.7,Norte
23,65.8413988533192,8.7838771445236,0,0,1,0.7,Sudeste
24,62.829686307020566,7.89509814190413,0,0,1,0.7,Sul
25,36.7517442288212,1.5537203959135097,0,1,0,0.7,Centro-Oeste
26,34.04582612591054,0.7428024855968279,0,1,0,0.7,Nordeste
27,111.38644168549737,0.9810096263275669,0,1,0,0.7,Norte
28,12.377959488047221,1.6513390865998574,0,1,0,0.7,Sudeste
29,9.974287765416067,1.253356262495842,0,1,0,0.7,Sul
